estacion,mes,provincia,precipi_mm,frec_dias_precipi_sup_1mm,humedad_relac,nubosidad_octas,temperat_c,temperat_max_c,temperat_min_c,veloc_kmh_viento_2011_2020,lat_gr,lat_min,lon_gr,lon_min,altura_m
SALTA AERO,Abr,SALTA,42.1,4.4,82.3,5.4,16.8,22.9,12.2,6.0,-24.0,50.0,-65.0,28.0,1221
SALTA AERO,Ago,SALTA,2.3,0.7,60.4,2.9,12.8,22.7,4.8,6.9,-24.0,50.0,-65.0,28.0,1221
SALTA AERO,Dic,SALTA,138.4,10.1,71.5,5.3,21.7,28.4,16.0,7.6,-24.0,50.0,-65.0,28.0,1221
SALTA AERO,Ene,SALTA,197.1,12.4,77.2,5.8,21.5,27.7,16.8,6.8,-24.0,50.0,-65.0,28.0,1221
SALTA AERO,Feb,SALTA,147.3,11.2,80.6,5.8,20.6,26.5,16.1,6.4,-24.0,50.0,-65.0,28.0,1221
SALTA AERO,Jul,SALTA,2.7,0.8,69.3,3.4,10.1,19.9,2.9,6.5,-24.0,50.0,-65.0,28.0,1221
SALTA AERO,Jun,SALTA,2.5,0.5,75.6,4.2,10.9,19.8,4.5,6.1,-24.0,50.0,-65.0,28.0,1221
SALTA AERO,Mar,SALTA,107.3,10.1,82.9,5.8,19.4,25.1,15.2,6.1,-24.0,50.0,-65.0,28.0,1221
SALTA AERO,May,SALTA,9.7,1.7,80.5,5.0,13.3,20.3,8.1,5.8,-24.0,50.0,-65.0,28.0,1221
SALTA AERO,Nov,SALTA,59.3,6.6,66.1,4.8,20.6,27.6,14.2,8.6,-24.0,50.0,-65.0,28.0,1221
SALTA AERO,Oct,SALTA,23.9,3.3,60.6,4.4,19.3,26.9,12.1,9.0,-24.0,50.0,-65.0,28.0,1221
SALTA AERO,Sep,SALTA,5.7,1.2,55.8,3.3,15.8,24.7,7.7,7.9,-24.0,50.0,-65.0,28.0,1221
MENDOZA AERO,Abr,MENDOZA,18.5,2.4,64.6,3.2,16.5,23.3,10.8,,-32.0,50.0,-68.0,47.0,704
MENDOZA AERO,Ago,MENDOZA,7.9,1.3,53.2,2.7,10.8,18.6,4.3,,-32.0,50.0,-68.0,47.0,704
MENDOZA AERO,Dic,MENDOZA,24.7,3.2,43.8,2.9,25.1,32.0,18.1,,-32.0,50.0,-68.0,47.0,704
MENDOZA AERO,Ene,MENDOZA,47.2,4.5,48.4,3.3,25.9,32.8,19.3,,-32.0,50.0,-68.0,47.0,704
MENDOZA AERO,Feb,MENDOZA,40.8,4.0,53.8,3.3,24.1,31.0,17.8,,-32.0,50.0,-68.0,47.0,704
MENDOZA AERO,Jul,MENDOZA,5.0,1.3,62.1,3.0,7.9,15.3,2.0,,-32.0,50.0,-68.0,47.0,704
MENDOZA AERO,Jun,MENDOZA,5.7,1.0,66.9,3.2,8.7,15.9,2.9,,-32.0,50.0,-68.0,47.0,704
MENDOZA AERO,Mar,MENDOZA,31.6,3.4,59.7,3.2,21.5,28.1,15.7,,-32.0,50.0,-68.0,47.0,704
MENDOZA AERO,May,MENDOZA,11.0,2.0,69.1,3.7,12.1,18.7,6.8,,-32.0,50.0,-68.0,47.0,704
MENDOZA AERO,Nov,MENDOZA,22.1,3.0,43.5,2.9,22.3,29.2,15.4,,-32.0,50.0,-68.0,47.0,704
MENDOZA AERO,Oct,MENDOZA,11.2,2.0,45.3,3.0,18.7,25.7,11.9,,-32.0,50.0,-68.0,47.0,704
MENDOZA AERO,Sep,MENDOZA,12.3,2.1,48.3,3.0,14.5,21.8,7.8,,-32.0,50.0,-68.0,47.0,704
ROSARIO AERO,Abr,SANTA FE,119.9,6.9,78.1,3.6,17.7,23.9,12.4,10.7,-32.0,54.0,-60.0,46.0,25
ROSARIO AERO,Ago,SANTA FE,35.3,2.8,72.6,3.5,12.3,19.2,6.3,12.8,-32.0,54.0,-60.0,46.0,25
ROSARIO AERO,Dic,SANTA FE,127.9,7.7,65.5,3.3,23.6,29.8,17.3,12.7,-32.0,54.0,-60.0,46.0,25
ROSARIO AERO,Ene,SANTA FE,120.7,6.4,67.8,3.2,24.8,30.9,18.7,12.4,-32.0,54.0,-60.0,46.0,25
ROSARIO AERO,Feb,SANTA FE,127.4,6.6,72.8,3.3,23.4,29.4,17.7,11.4,-32.0,54.0,-60.0,46.0,25
ROSARIO AERO,Jul,SANTA FE,23.0,2.6,77.9,3.9,10.1,16.5,4.9,11.6,-32.0,54.0,-60.0,46.0,25
ROSARIO AERO,Jun,SANTA FE,28.3,2.7,80.9,4.2,11.0,17.0,6.2,10.6,-32.0,54.0,-60.0,46.0,25
ROSARIO AERO,Mar,SANTA FE,138.4,6.3,75.4,3.1,21.5,27.7,16.0,10.5,-32.0,54.0,-60.0,46.0,25
ROSARIO AERO,May,SANTA FE,57.7,4.2,81.0,4.0,14.2,20.1,9.4,10.7,-32.0,54.0,-60.0,46.0,25
ROSARIO AERO,Nov,SANTA FE,108.2,6.7,65.6,3.4,21.3,27.5,15.0,14.6,-32.0,54.0,-60.0,46.0,25
ROSARIO AERO,Oct,SANTA FE,118.7,7.9,69.3,3.9,18.2,24.3,12.3,15.3,-32.0,54.0,-60.0,46.0,25
ROSARIO AERO,Sep,SANTA FE,48.0,4.1,68.5,3.6,15.0,21.5,8.7,14.4,-32.0,54.0,-60.0,46.0,25
